@relation SINE1
@attribute x real
@attribute y real
@attribute class {p,n}

@data
0.97305,0.34173,p
0.44229,0.10683,p
0.02350,0.96677,p
0.02366,0.25860,n
0.10362,0.70097,n
0.67425,0.70275,n
0.88250,0.30866,p
0.95023,0.51888,p
0.78153,0.57668,p
0.57096,0.78801,n
0.67734,0.85472,p
0.85149,0.44061,p
0.75477,0.95241,n
0.25388,0.03085,p
0.35499,0.51441,n
0.77459,0.34941,p
0.43475,0.44270,n
0.53964,0.33487,p
0.05790,0.61419,n
0.15052,0.75791,n
0.26116,0.80825,n
0.09285,0.96210,n
0.06497,0.02621,p
0.52039,0.72592,n
0.62966,0.06976,p
0.08367,0.35544,n
0.36268,0.35413,p
0.57836,0.36894,p
0.24743,0.95962,n
0.29540,0.95923,n
0.14152,0.91318,n
0.50006,0.67071,n
0.18829,0.73813,n
0.92620,0.08360,p
0.09368,0.62283,n
0.45281,0.08612,p
0.35646,0.59360,n
0.38517,0.44638,n
0.90124,0.44095,p
0.36235,0.49455,n
0.56372,0.44198,p
0.01439,0.31374,n
0.38858,0.92961,n
0.92329,0.40047,p
0.39882,0.56720,n
0.81820,0.01001,p
0.36672,0.58497,n
0.60826,0.73245,n
0.54053,0.06636,p
0.06357,0.37730,n
0.35137,0.72946,n
0.61776,0.15276,p
0.63900,0.79389,n
0.12012,0.83042,p
0.09041,0.53230,n
0.81746,0.10297,p
0.86177,0.28197,n
0.32919,0.33603,n
0.53409,0.46970,p
0.44817,0.71844,n
0.01901,0.62054,n
0.66987,0.50708,p
0.33436,0.05582,n
0.42869,0.92372,n
0.96402,0.99408,n
0.18146,0.42272,n
0.96724,0.11688,p
0.74247,0.42809,p
0.62213,0.44942,p
0.44403,0.18376,p
0.85034,0.96881,n
0.10484,0.26124,n
0.58068,0.80595,n
0.77468,0.89494,n
0.31039,0.92175,p
0.29521,0.01176,p
0.13243,0.69344,n
0.16029,0.02562,p
0.96829,0.21698,p
0.95521,0.60821,p
0.96480,0.04900,p
0.45058,0.46695,n
0.37634,0.01341,p
0.14131,0.77475,n
0.44394,0.89153,n
0.35037,0.03203,p
0.63152,0.86076,n
0.20358,0.17650,n
0.02008,0.43178,n
0.85641,0.15586,p
0.22230,0.80684,n
0.40304,0.54861,n
0.91189,0.90082,n
0.57578,0.61028,p
0.45767,0.05424,p
0.95498,0.43175,p
0.72253,0.42289,p
0.09920,0.14694,n
0.82674,0.32190,p
0.70342,0.65181,n
0.53697,0.04265,p
0.35520,0.19993,p
0.26006,0.02784,n
0.73980,0.25595,p
0.91445,0.01493,p
0.56619,0.22718,p
0.67750,0.57924,p
0.15550,0.88937,n
0.17815,0.03361,p
0.77782,0.87881,n
0.67439,0.82673,n
0.54496,0.65347,n
0.49928,0.97727,n
0.35724,0.70651,n
0.65785,0.79440,n
0.83290,0.98448,n
0.31936,0.77185,n
0.91538,0.77996,p
0.65280,0.31556,p
0.93228,0.36172,p
0.45582,0.22273,p
0.90400,0.63097,p
0.76146,0.61980,n
0.51676,0.56854,n
0.85318,0.48865,p
0.21648,0.90123,p
0.84370,0.93102,n
0.39226,0.65714,p
0.99887,0.16805,p
0.57524,0.69050,n
0.07613,0.41855,n
0.64586,0.34298,p
0.27597,0.68502,n
0.19844,0.16012,p
0.60778,0.11210,n
0.39830,0.61252,n
0.53573,0.04043,n
0.55209,0.54380,n
0.85354,0.52847,p
0.73252,0.35344,p
0.35920,0.39549,n
0.78921,0.93422,n
0.82238,0.48182,p
0.42580,0.20340,n
0.68378,0.38600,p
0.91021,0.99161,n
0.20218,0.48899,n
0.73422,0.71550,n
0.20307,0.17852,p
0.72471,0.89908,n
0.75147,0.36521,p
0.48181,0.67232,p
0.58081,0.62959,n
0.95647,0.08342,p
0.26588,0.08634,p
0.84919,0.64504,p
0.56052,0.97186,n
0.10737,0.27995,n
0.74940,0.07499,p
0.46162,0.94839,n
0.59085,0.11247,p
0.39257,0.81925,n
0.53480,0.30206,p
0.60813,0.90819,n
0.11030,0.47248,n
0.36346,0.85196,n
0.27669,0.14129,p
0.80996,0.51968,p
0.75656,0.75769,n
0.82668,0.38725,n
0.50987,0.67775,n
0.47114,0.67361,n
0.94773,0.51614,p
0.60989,0.49994,p
0.68963,0.78564,n
0.24266,0.00359,p
0.82471,0.44527,p
0.43220,0.29072,p
0.41508,0.06198,p
0.33494,0.15018,p
0.17009,0.32164,n
0.85708,0.29443,p
0.38277,0.01956,p
0.74070,0.04425,p
0.54873,0.64273,n
0.12731,0.70897,n
0.95706,0.58783,p
0.89867,0.70854,n
0.67873,0.03158,p
0.89725,0.99579,n
0.37767,0.18420,p
0.32347,0.29181,p
0.86047,0.95629,n
0.28179,0.16203,p
0.78301,0.46742,p
0.36864,0.26693,p
0.56968,0.99675,n
0.32765,0.72678,n
0.57433,0.13677,p
0.20013,0.43156,n
0.01541,0.73955,n
0.18105,0.43556,n
0.99900,0.58134,p
0.54712,0.74646,n
0.85800,0.13043,p
0.80059,0.84941,n
0.14115,0.85393,n
0.79286,0.59869,p
0.67780,0.82535,n
0.48782,0.93687,n
0.61789,0.40324,p
0.05024,0.37355,p
0.19392,0.07518,p
0.84811,0.38655,p
0.20683,0.82194,n
0.01598,0.26330,n
0.42206,0.56056,n
0.64558,0.40004,p
0.94922,0.64999,p
0.90373,0.47717,n
0.58260,0.10306,p
0.32751,0.10057,p
0.20181,0.77682,n
0.52302,0.99472,n
0.59135,0.68346,n
0.02731,0.16449,n
0.27256,0.09235,p
0.41036,0.20194,n
0.74147,0.00841,p
0.80640,0.71301,p
0.10174,0.07394,p
0.21500,0.43163,p
0.21353,0.87703,n
0.19506,0.60579,n
0.11929,0.10837,p
0.42633,0.43579,n
0.81216,0.72917,p
0.84523,0.37168,n
0.34376,0.29763,p
0.04927,0.70189,n
0.74728,0.09770,p
0.68797,0.01480,p
