@relation SINE1
@attribute x real
@attribute y real
@attribute class {p,n}

@data
0.79896,0.93059,n
0.48272,0.13491,p
0.25333,0.56072,n
0.57236,0.19028,p
0.55908,0.28799,p
0.01203,0.94145,n
0.27310,0.72075,n
0.01699,0.73337,n
0.00858,0.41050,n
0.29304,0.20300,p
0.54156,0.12702,p
0.78637,0.35456,p
0.56431,0.75824,n
0.35405,0.19011,p
0.80567,0.17952,p
0.66137,0.43859,n
0.03291,0.12729,n
0.56942,0.18526,p
0.24566,0.96710,n
0.97105,0.65727,p
0.92395,0.40673,p
0.50658,0.84732,n
0.69478,0.19667,p
0.31180,0.32843,p
0.70314,0.22092,p
0.75568,0.27539,p
0.65449,0.52537,p
0.45506,0.86221,n
0.94447,0.09301,p
0.97121,0.37281,p
0.08209,0.29766,n
0.43020,0.60601,n
0.75683,0.88961,n
0.61140,0.04408,p
0.68658,0.08828,p
0.41099,0.28737,n
0.21219,0.74883,p
0.39117,0.28706,p
0.26510,0.34740,p
0.93471,0.70924,p
0.49144,0.60453,n
0.72949,0.57218,p
0.38413,0.83176,n
0.51698,0.41843,p
0.84989,0.03256,p
0.62115,0.14147,p
0.93372,0.41812,p
0.08042,0.78994,n
0.34349,0.95884,n
0.15175,0.15573,p
0.15965,0.41540,n
0.09799,0.04918,p
0.68801,0.51189,p
0.51701,0.11450,p
0.86214,0.40821,n
0.61881,0.43636,p
0.58575,0.69724,n
0.96570,0.60449,p
0.19365,0.26695,n
0.56585,0.43595,p
0.19914,0.64612,n
0.70778,0.64036,p
0.40190,0.10279,p
0.97084,0.20236,p
0.69563,0.28965,p
0.59511,0.66903,n
0.01031,0.61890,n
0.92632,0.82500,n
0.72183,0.82479,n
0.98970,0.71745,p
0.58731,0.58915,n
0.95871,0.42641,p
0.58975,0.51943,p
0.90837,0.95177,n
0.35385,0.19562,p
0.51653,0.84371,n
0.26706,0.54521,n
0.06937,0.41621,n
0.03830,0.39077,n
0.34291,0.14466,p
0.63897,0.51794,p
0.84747,0.86101,n
0.11867,0.19417,n
0.03359,0.98053,n
0.12559,0.74555,n
0.60774,0.00216,p
0.14353,0.31323,p
0.83428,0.10281,p
0.99554,0.47841,p
0.64972,0.76364,n
0.56650,0.17497,p
0.99103,0.52463,p
0.87898,0.71990,p
0.04722,0.60097,n
0.49983,0.23530,p
0.33198,0.46475,n
0.05491,0.51315,n
0.11364,0.10066,p
0.85932,0.18359,n
0.87003,0.56007,p
0.05913,0.67131,n
0.86004,0.89612,p
0.52789,0.12979,p
0.13243,0.29013,n
0.20488,0.91802,n
0.54776,0.53470,n
0.55437,0.17114,p
0.17341,0.41100,n
0.79986,0.41524,p
0.00221,0.72396,n
0.83385,0.76672,n
0.85398,0.39134,p
0.27753,0.60318,n
0.34818,0.38607,n
0.64719,0.39442,n
0.05053,0.78649,n
0.12519,0.81121,n
0.05166,0.18158,n
0.14394,0.11105,p
0.39439,0.18526,p
0.99593,0.81869,n
0.46204,0.16063,p
0.55456,0.29544,p
0.87916,0.52530,p
0.88640,0.06391,p
0.54231,0.11740,p
0.56037,0.94926,p
0.07376,0.57863,n
0.25476,0.51602,n
0.74901,0.21832,p
0.45775,0.54814,n
0.88746,0.45124,p
0.84716,0.35633,p
0.48221,0.56996,n
0.86244,0.78030,n
0.17495,0.78710,n
0.19195,0.00752,p
0.16654,0.06679,p
0.11479,0.44092,n
0.38679,0.64376,n
0.34571,0.28576,p
0.01367,0.29162,n
0.78830,0.99605,n
0.14655,0.19327,n
0.58993,0.82691,n
0.64406,0.91637,n
0.43351,0.38905,p
0.88390,0.25860,p
0.49550,0.60811,n
0.73050,0.33385,p
0.12224,0.90823,n
0.38877,0.68114,n
0.74088,0.72535,n
0.73514,0.41419,p
0.92329,0.48908,p
0.86761,0.97830,n
0.53558,0.14552,p
0.73954,0.35021,n
0.11839,0.79595,p
0.13930,0.48680,n
0.69772,0.43232,p
0.16195,0.58136,n
0.74265,0.28175,p
0.63329,0.23037,p
0.35969,0.12826,p
0.09743,0.09298,p
0.15394,0.13343,p
0.30823,0.57984,n
